Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Emergency,1,Call 911,Please call 911 immediately,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/telephone emergency.png,#ef4444,,1,https://static.arasaac.org/pictograms/25315/25315_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Emergency,1,I need help now,I need help right now,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,#ef4444,,2,https://static.arasaac.org/pictograms/25315/25315_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Emergency,1,Something is wrong,Something is wrong,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/danger.png,#ef4444,,3,https://static.arasaac.org/pictograms/25315/25315_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Emergency,1,I fell down,I fell down,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to fall down_3.png.varianted-skin.png,#ef4444,,4,https://static.arasaac.org/pictograms/25315/25315_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Emergency,1,Fire,There is a fire,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/fire.png,#ef4444,,5,https://static.arasaac.org/pictograms/25315/25315_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Danger,2,I am scared,I am scared,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/scared.png.varianted-skin.png,#ef4444,,1,https://static.arasaac.org/pictograms/30620/30620_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Danger,2,Someone is hurting me,Someone is hurting me,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to hit_2.png.varianted-skin.png,#ef4444,,2,https://static.arasaac.org/pictograms/30620/30620_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Danger,2,I feel unsafe,I feel unsafe,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/danger.png,#ef4444,,3,https://static.arasaac.org/pictograms/30620/30620_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Danger,2,Stop,Stop right now,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Stop-0cab3250e1.svg,#ef4444,,4,https://static.arasaac.org/pictograms/30620/30620_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
Danger,2,Go away,Go away,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to go_3.png,#ef4444,,5,https://static.arasaac.org/pictograms/30620/30620_300.png,Emergency,#ef4444,https://static.arasaac.org/pictograms/6214/6214_300.png
