Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Music,1,Play music,Play music please,https://static.arasaac.org/pictograms/38221/38221_300.png,#3498db,,1,https://static.arasaac.org/pictograms/24791/24791_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Music,1,Pause music,Pause the music,https://static.arasaac.org/pictograms/38213/38213_300.png,#3498db,,2,https://static.arasaac.org/pictograms/24791/24791_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Music,1,Next song,Play the next song,https://static.arasaac.org/pictograms/38223/38223_300.png,#3498db,,3,https://static.arasaac.org/pictograms/24791/24791_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Music,1,Previous song,Play the previous song,https://static.arasaac.org/pictograms/38224/38224_300.png,#3498db,,4,https://static.arasaac.org/pictograms/24791/24791_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Search,2,Search the internet,Search the internet please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to search.png.varianted-skin.png,#3498db,,1,https://static.arasaac.org/pictograms/27391/27391_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Search,2,Open Google,Open Google please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to search.png.varianted-skin.png,#3498db,,2,https://static.arasaac.org/pictograms/27391/27391_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Search,2,Open YouTube,Open YouTube please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/video.png,#3498db,,3,https://static.arasaac.org/pictograms/27391/27391_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Search,2,Find a video,Find a video for me,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/video.png,#3498db,,4,https://static.arasaac.org/pictograms/27391/27391_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Search,2,Find information,Find information about something,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/information.png,#3498db,,5,https://static.arasaac.org/pictograms/27391/27391_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
Message,3,Send a message,Send a message please,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to send an email.png.varianted-skin.png,#3498db,,1,https://static.arasaac.org/pictograms/37867/37867_300.png,Voice Help,#3498db,https://static.arasaac.org/pictograms/11685/11685_300.png
